"ID","Reef","lat","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"09-326","U/N Reef",-9.7,6,5.1,6.2,0.7,2.1,3.1,2.2,3.2,0.5,0,0.6,0,0.5,1.4,1,1.6,7.6,0.6,2.7,2.7,3.6,9.9,1.7,2.7,2.7,1.4,4.1,6.2,5.9,5.9,0.7,1.9,4,2.1,10.3,4.7,6,6.4,10.5,5.9,2.5,2,3.7,8.3
"09-327","U/N Reef",-9.6,6,5.1,6.2,0.7,2.1,3.1,2.2,3.2,0.5,0,0.6,0,0.5,1.4,1,1.6,7.6,0.6,2.7,2.7,3.6,9.9,1.7,2.7,2.7,1.4,4.1,6.2,5.9,5.9,0.7,1.9,4,2.1,10.3,4.7,6,6.4,10.5,5.9,2.5,2,3.7,8.3
"09-328","U/N Reef",-9.7,6,5.1,6.2,0.7,2.1,3.1,2.2,3.2,0.5,0,0.6,0,0.5,1.4,1,1.6,7.6,0.6,2.7,2.7,3.6,9.9,1.7,2.7,2.7,1.4,4.1,6.2,5.9,5.9,0.7,1.9,4,2.1,10.3,4.7,6,6.4,10.5,5.9,2.5,2,3.7,8.3
"09-329","U/N Reef",-9.8,5.9,5.4,7.5,1,2.2,3.3,1.7,3.2,0.6,0,0.3,0,1.2,1.5,1,1.5,7.8,0.7,2.3,2.3,3.8,10.2,1.8,2.9,3.2,1.6,3.7,6.9,7.2,7.2,0.7,1.9,4.6,1.7,11.6,4.7,6.2,6.5,11.4,6,3.5,1.5,5,10.6
"09-330","U/N Reef",-9.6,6,5.1,6.2,0.7,2.1,3.1,2.2,3.2,0.5,0,0.6,0,0.5,1.4,1,1.6,7.6,0.6,2.7,2.7,3.6,9.9,1.7,2.7,2.7,1.4,4.1,6.2,5.9,5.9,0.7,1.9,4,2.1,10.3,4.7,6,6.4,10.5,5.9,2.5,2,3.7,8.3
"09-331","Sereu Rock",-9.9,5.9,5.4,7.5,1,2.2,3.3,1.7,3.2,0.6,0,0.3,0,1.2,1.5,1,1.5,7.8,0.7,2.3,2.3,3.8,10.2,1.8,2.9,3.2,1.6,3.7,6.9,7.2,7.2,0.7,1.9,4.6,1.7,11.6,4.7,6.2,6.5,11.4,6,3.5,1.5,5,10.6
"09-332","Yam (Iama) Island Reef",-9.9,7,6.2,6.7,1.3,2.6,4.7,1.6,3,0.5,0,0,0,0.9,1.7,1.2,1.2,7.8,1.2,2.5,3.1,3.5,9.6,2,2.4,2.6,1.6,4,7.5,7.3,5.9,0.5,1.6,4.6,1.1,12,4.9,5.7,5.3,10.5,7.2,4.2,0.8,5.4,12.5
"09-333","U/N Reef",-9.7,7,6.7,6.2,0.6,2,3.4,2.1,3.1,0.9,0,0.4,0.1,0.7,1.4,0.8,1.1,7,1.7,2.6,2.9,3.4,8.8,1.7,2.4,2.4,1.1,4.2,7.5,5.3,4.7,0.5,1.5,4,1.3,11,4.2,5,5.4,9,6.8,3.1,1.4,3.6,9.7
"09-336","U/N Reef",-9.3,5.8,6.7,5.8,0.7,2.2,3.5,2.5,3,0.7,0,0.8,0.3,0.4,1.2,0.4,1.1,7.1,1.8,2.5,3.1,3.3,7.5,1.8,2.3,2.3,1,4.7,7.5,4.8,3.8,0.3,1.5,3.1,1.7,10.5,3.7,5.1,5.3,8.4,6.3,2.4,2.1,2.8,7.7
"09-340","U/N Reef",-9.2,5.8,6.8,6.1,0.1,2.2,4.3,1.4,1.4,0.4,0.3,1.2,0.1,0.2,0.5,1.6,1.1,7,5,2.6,4.5,2.2,5.8,2.8,2.9,3.1,0.8,3.9,6.3,4.2,3.6,0.2,0.7,3.7,0.9,9.7,3.2,4.9,3.4,8.2,8.1,3.8,2.4,3.1,8.4
